X,Y,Name,description,altitudeMode,ADDRESS,PKNRD,LONGNAME,LINES,STATION_ID,POINT_X,POINT_Y,ADA,GTFS,Field_1,Latitude,Longitude,Accuracy Score,Zip
-87.66909211,42.01587618,Jarvis,,clampToGround,1523 W. Jarvis Street,No,Jarvis,Red Line,1190,1164754.772,1949075.679,Not ADA  Accessible,41190,Jarvis,42.015779,-87.669024,1,60626
-87.62740238,41.86736767,Roosevelt,,clampToGround,1167 S. State Street,No,Roosevelt/State,Red Line,1400,1176529.511,1895049.388,ADA Accessible,41400,Roosevelt,41.867208,-87.627087,1,60605
-87.68843451,41.87552957,Western,,clampToGround,430 S. Western Avenue,No,Western-Congress,Blue Line (Congress),220,1159883.323,1897892.778,Not ADA  Accessible,40220,Western,41.875522,-87.688263,1,60612
-87.66954323,41.871563,Polk,,clampToGround,1713 W. Polk Street,No,Polk,Pink,1030,1165039.424,1896486.589,ADA Accessible,41030,Polk,41.871392,-87.669566,1,60612
-87.74517218,41.87160805,Cicero,,clampToGround,720 S. Cicero Avenue,No,Cicero-Congress,Blue Line (Congress),970,1144440.977,1896352.789,Not ADA  Accessible,40970,Cicero,41.871593,-87.745337,1,60638
-87.70615542,41.8843211,Kedzie,,clampToGround,3200 W. Lake Street,No,Kedzie-Lake,Green Line (Lake),1070,1155033.734,1901060.632,ADA Accessible,41070,Kedzie,41.884427,-87.706273,1,60624
-87.70432067,41.80434841,Kedzie,,clampToGround,4900 S. Kedzie Avenue,Yes,Kedzie-Midway,Orange Line,1150,1155746.785,1871922.532,ADA Accessible,41150,Kedzie,41.804541,-87.704293,1,60632
-87.65313086,41.9327315,Diversey,,clampToGround,940 W. Diversey Avenue,No,Diversey,"Brown, Purple (Express)",530,1169332.772,1918811.409,ADA Accessible,40530,Diversey,41.932844,-87.653229,1,60614
-87.67953792,42.03345571,Main,,clampToGround,836 N. Chicago Avenue,No,Main,"Purple Line, Evanston Express",270,1161867.215,1955459.943,Not ADA  Accessible,40270,Main,42.033345,-87.679477,1,60202
-87.65907586,41.99025949,Thorndale,,clampToGround,1118 W. Thorndale Avenue,No,Thorndale,Red Line,880,1167550.174,1939762.068,Not ADA  Accessible,40880,Thorndale,41.990247,-87.659057,1,60660
-87.65286584,41.92505137,Fullerton,,clampToGround,943  W. Fullerton Avenue,No,Fullerton,"Red, Brown, Purple (Express)",1220,1169427.095,1916013.325,ADA Accessible,41220,Fullerton,41.925286,-87.652816,1,60614
-87.68160199,42.04165464,Dempster,,clampToGround,1316 N. Sherman Avenue,No,Dempster,"Purple Line, Evanston Express",690,1161283.708,1958443.428,Not ADA  Accessible,40690,Dempster,42.041669,-87.681576,1,60201
-87.63594666,41.89677417,Chicago,,clampToGround,300 W. Chicago Avenue,No,Chicago/Franklin,"Brown, Purple (Express)",710,1174115.154,1905746.076,ADA Accessible,40710,Chicago,41.896867,-87.635882,1,60610
-87.70165573,41.96614689,Francisco,,clampToGround,4648 N. Francisco Avenue,No,Francisco,Brown Line,870,1156039.372,1930887.062,ADA Accessible,40870,Francisco,41.966233,-87.701416,1,60625
-87.67088394,41.94370915,Paulina,,clampToGround,3411 N. Paulina Street,No,Paulina,Brown Line,1310,1164471.23,1922773.867,ADA Accessible,41310,Paulina,41.94363,-87.67098,1,60657
-87.67516539,41.96175171,Montrose,,clampToGround,1814 W. Montrose Avenue,No,Montrose-Ravenswood,Brown Line,1500,1163255.952,1929339.666,ADA Accessible,41500,Montrose,41.961699,-87.675041,1,60613
-87.62783518,41.88574041,State/Lake,,clampToGround,200 N. State Street,No,State/Lake,"Brown, Orange, Pink,  Purple (Express), Green",260,1176356.594,1901743.429,Not ADA  Accessible,40260,State/Lake,41.885588,-87.627588,1,60601
-87.62781338,41.88480887,Lake,,clampToGround,188 N. State,No,Lake/State,Red Line,1660,1176365.321,1901404.024,ADA Accessible,40260,Lake,41.884797,-87.627452,1,60601
-87.77413526,41.88729278,Austin,,clampToGround,351 N. Austin Blvd,No,Austin-Lake,Green Line (Lake),1260,1136515.354,1902015.556,Not ADA  Accessible,41260,Austin,41.887306,-87.774261,1,60644
-87.6417713,41.88570342,Clinton,,clampToGround,540 W. Lake Street,No,Clinton-Lake,"Green (Lake), Pink",1160,1172561.887,1901699.061,ADA Accessible,41160,Clinton,41.885665,-87.641799,1,60661
-87.65521428,41.89607524,Chicago,,clampToGround,800 N. Milwaukee Avenue,No,Chicago/Milwaukee,Blue Line,1410,1168871.485,1905449.334,Not ADA  Accessible,41410,Chicago,41.895906,-87.65523,1,60642
-87.6968898,41.92193917,California,,clampToGround,2211 N. California Avenue,No,California/Milwaukee,Blue Line (O'Hare),570,1157455.121,1914787.239,Not ADA  Accessible,40570,California,41.921945,-87.69712,1,60647
-87.74361697,41.96148663,Montrose,,clampToGround,4600 W. Montrose Avenue,No,Montrose-O'Hare,Blue Line,1330,1144639.347,1929107.506,Not ADA  Accessible,41330,Montrose,41.961474,-87.743622,1,60630
-87.62475307,41.73537121,87th,,clampToGround,15 W. 87th Street,No,87th,Red Line,1430,1177647.638,1846956.573,ADA Accessible,41430,87th,41.735409,-87.624755,1,60620
-87.6306363,41.83119056,Sox-35th,,clampToGround,142 W. 35th Street,No,Sox-35th-Dan Ryan,Red Line,190,1175756.536,1881859.322,ADA Accessible,40190,Sox-35th,41.831239,-87.630658,1,60616
-87.61554588,41.78012972,King Drive,,clampToGround,400 E. 63rd Street,No,King Drive,Green Line,1140,1180024.551,1863287.025,ADA Accessible,41140,King Drive,41.780101,-87.615379,1,60637
-87.66384485,41.7789534,Ashland,,clampToGround,6315 S. Ashland Avenue,Yes,Ashland/63rd,Green Line (Englewood),290,1166854.408,1862752.122,ADA Accessible,40290,Ashland,41.778946,-87.663863,1,60636
-87.62618878,41.88322001,Washington/Wabash,,clampToGround,29 N. Wabash,No,Washington/Wabash,"Brown, Orange, Pink,  Purple (Express), Green",1700,1176812.477,1900828.688,ADA Accessible,41700,Washington/Wabash,41.883385,-87.625737,1,60602
-87.62658989,41.86740496,Roosevelt,,clampToGround,22 E. Roosevelt Road,No,Roosevelt/Wabash,Orange &amp; Green Lines,410,1176750.706,1895064.799,ADA Accessible,,Roosevelt,41.867552,-87.626636,1,60605
-87.65849296,41.96913894,Lawrence,,clampToGround,1117 W. Lawrence Avenue,No,Lawrence,Red Line,770,1167769.274,1932066.875,Not ADA  Accessible,40770,Lawrence,41.969098,-87.658457,1,60640
-87.64917727,41.91065458,North/Clybourn,,clampToGround,1599 N. Clybourn Avenue,No,North/Clybourn,Red Line,650,1170472.731,1910775.102,Not ADA  Accessible,40650,North/Clybourn,41.910775,-87.649028,1,60642
-87.68333688,42.05828247,Noyes,,clampToGround,901 W. Noyes Street,No,Noyes,"Purple Line, Evanston Express",400,1160766.403,1964499.18,Not ADA  Accessible,40400,Noyes,42.058323,-87.683195,1,60201
-87.66590909,42.00836182,Morse,,clampToGround,1358 W. Morse Avenue,No,Morse,Red Line,100,1165641.099,1946344.119,Not ADA  Accessible,40100,Morse,42.008297,-87.665972,1,60626
-87.62802126,41.8916652,Grand,,clampToGround,521 N. State Street,No,Grand/State,Red Line,330,1176288.179,1903902.005,ADA Accessible,40330,Grand,41.891423,-87.628261,1,60654
-87.69411112,41.96620995,Rockwell,,clampToGround,4648 N. Rockwell Street,No,Rockwell,Brown Line,1010,1158091.022,1930925.256,ADA Accessible,41010,Rockwell,41.966307,-87.693963,1,60625
-87.79160215,41.87210797,Oak Park,,clampToGround,950 S. Oak Park Avenue,No,Oak Park-Congress,Blue Line,180,1131794.163,1896451.732,Not ADA  Accessible,40180,Oak Park,41.871727,-87.79169,1,60304
-87.72444964,41.79988782,Pulaski,,clampToGround,5106 S. Pulaski Road,Yes,Pulaski-Midway,Orange Line,960,1150270.222,1870257.602,ADA Accessible,40960,Pulaski,41.800025,-87.724515,1,60632
-87.81731778,41.87425731,Forest Park,,clampToGround,711 S. Des Plaines Avenue,Yes,Forest Park,Blue Line,390,1124785.607,1897191.792,ADA Accessible,40390,Forest Park,41.874225,-87.816773,1,60130
-87.80889494,41.98232337,Harlem,,clampToGround,5550 N. Harlem Avenue,Yes,Harlem-O'Hare,Blue Line (O'Hare),750,1126838.699,1936585.067,ADA Accessible,40750,Harlem,41.98292,-87.808985,1,60631
-87.69623422,41.88421953,California,,clampToGround,2800 W. Lake Street,No,California-Lake,Green Line (Lake),1360,1157735.616,1901043.523,ADA Accessible,41360,California,41.884084,-87.696151,1,60612
-87.7190993,41.9473601,Addison,,clampToGround,3622 W. Addison Street,No,Addison-O'Hare,Blue Line,1240,1151344.515,1924006.6,ADA Accessible,41240,Addison,41.947409,-87.719075,1,60618
-87.68406499,41.80468356,Western,,clampToGround,4901 S. Western Avenue,Yes,Western-Midway,Orange Line,310,1161268.486,1872085.727,ADA Accessible,40310,Western,41.805031,-87.683423,1,60609
-87.69482292,41.85427963,California,,clampToGround,2011 S. California Avenue,No,California-Douglas,Pink,440,1158201.074,1890136.339,ADA Accessible,40440,California,41.854326,-87.694755,1,60608
-87.75669201,41.85177331,54th/Cermak,,clampToGround,2134 S. 54th Avenue,Yes,54th/Cermak,Pink,580,1141351.979,1889103.78,ADA Accessible,40580,54th/Cermak,41.851581,-87.756139,1,60804
-87.64098422,41.8755389,Clinton,,clampToGround,426 S. Clinton Street,No,Clinton-Congress,Blue Line,430,1172806.092,1897996.847,Not ADA  Accessible,40430,Clinton,41.875515,-87.640574,1,60607
-87.65773405,41.96425416,Wilson,,clampToGround,4920 N. Broadway Street,No,Wilson,Red Line,540,1168029.494,1930295.534,Not ADA  Accessible,40540,Wilson,41.964395,-87.657228,1,60640
-87.68561726,42.06398654,Central,,clampToGround,1022 W. Central Avenue,No,Central-Evanston,"Purple Line, Evanston Express",1250,1160131.387,1966573.104,Not ADA  Accessible,41250,Central,42.064058,-87.685704,1,60201
-87.68356033,42.05416022,Foster,,clampToGround,900 W. Foster Street,No,Foster,"Purple Line, Evanston Express",520,1160717.135,1962996.532,Not ADA  Accessible,40520,Foster,42.054069,-87.683311,1,60201
